"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"AMERICAN ANTHROPOLOGIST","0002-7294","1548-1433","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"AMERICAN ANTIQUITY","0002-7316","2325-5064","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Anthropology"
"AMERICAN BANKRUPTCY LAW JOURNAL","0027-9048","","NATL CONF BANKRUPT J","235 SECRET COVE DR, LEXINGTON, USA, SC, 29072","English","Law"
"AMERICAN BEHAVIORAL SCIENTIST","0002-7642","1552-3381","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology"
"AMERICAN BUSINESS LAW JOURNAL","0002-7766","1744-1714","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Law"
"AMERICAN CRIMINAL LAW REVIEW","0164-0364","0164-0364","AMER CRIMINAL LAW REVIEW","GEORGETOWN UNIV LAW CTR 600 NEW JERSEY AVE NW, WASHINGTON, USA, DC, 20001","English","Law"
"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","1945-7782","1945-7790","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY","1945-7731","1945-774X","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","1945-7707","1945-7715","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC JOURNAL-MICROECONOMICS","1945-7669","1945-7685","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN ECONOMIC REVIEW","0002-8282","1944-7981","AMER ECONOMIC ASSOC","2014 BROADWAY, STE 305, NASHVILLE, USA, TN, 37203","English","Economics"
"AMERICAN EDUCATIONAL RESEARCH JOURNAL","0002-8312","1935-1011","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education"
"AMERICAN ETHNOLOGIST","0094-0496","1548-1425","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"AMERICAN HEALTH AND DRUG BENEFITS","1942-2962","1942-2970","ENGAGE HEALTHCARE COMMUNICATIONS INC","318 CLEVELAND AVE, HIGHLAND PARK, USA, NJ, 08904","English","Public Health & Health Care Science"
"AMERICAN HISTORICAL REVIEW","0002-8762","1937-5239","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Sociology & Social Sciences"
"AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH","1533-7731","1533-7731","UNIV PRESS COLORADO","PO BOX 849, NIWOT, USA, CO, 80544","English","Psychology"
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","0002-9092","1467-8276","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"AMERICAN JOURNAL OF BIOETHICS","1526-5161","1536-0075","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Sociology & Social Sciences"
"AMERICAN JOURNAL OF CLINICAL HYPNOSIS","0002-9157","2160-0562","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology"
"AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY","0091-0562","1573-2770","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology"
"AMERICAN JOURNAL OF COMPARATIVE LAW","0002-919X","2326-9197","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Law"
"AMERICAN JOURNAL OF CRIMINAL JUSTICE","1066-2316","1936-1351","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Law"
"AMERICAN JOURNAL OF CULTURAL SOCIOLOGY","2049-7113","2049-7121","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Sociology & Social Sciences"
"AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE","0095-2990","1097-9891","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","0002-9246","1536-7150","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology & Social Sciences"
"AMERICAN JOURNAL OF EDUCATION","0195-6744","1549-6511","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Education"
"AMERICAN JOURNAL OF EVALUATION","1098-2140","1557-0878","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology & Social Sciences"
"AMERICAN JOURNAL OF FAMILY THERAPY","0192-6187","1521-0383","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology"
"AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","1064-7481","1545-7214","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Psychiatry"
"AMERICAN JOURNAL OF HEALTH BEHAVIOR","1945-7359","1945-7359","PNG PUBLICATIONS","2205-K OAK RIDGE RD, #115, OAK RIDGE, USA, NC, 27310","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF HEALTH ECONOMICS","2332-3493","2332-3507","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Economics"
"AMERICAN JOURNAL OF HEALTH PROMOTION","0890-1171","2168-6602","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF HUMAN BIOLOGY","1042-0533","1520-6300","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"AMERICAN JOURNAL OF INTERNATIONAL LAW","0002-9300","2161-7953","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Law"
"AMERICAN JOURNAL OF LAW & MEDICINE","0098-8588","2375-835X","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Law"
"AMERICAN JOURNAL OF MANAGED CARE","1088-0224","1936-2692","MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC","666 PLAINSBORO RD, STE 300, PLAINSBORO, USA, NJ, 08536","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF MENS HEALTH","1557-9883","1557-9891","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF NURSING","0002-936X","1538-7488","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF OCCUPATIONAL THERAPY","0272-9490","1943-7676","AMER OCCUPATIONAL THERAPY ASSOC, INC","4720 MONTGOMERY LANE, BETHESDA, USA, MD, 20814-3425","English","Rehabilitation"
"AMERICAN JOURNAL OF ORTHOPSYCHIATRY","0002-9432","1939-0025","AMER PSYCHOLOGICAL ASSOC","750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242","English","Social Work & Social Policy"
"AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","0002-9483","1096-8644","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"AMERICAN JOURNAL OF POLITICAL SCIENCE","0092-5853","1540-5907","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Political Science & Public Administration"
"AMERICAN JOURNAL OF PREVENTIVE MEDICINE","0749-3797","1873-2607","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF PSYCHIATRY","0002-953X","1535-7228","AMER PSYCHIATRIC PUBLISHING, INC","800 MAINE AVE SW, SUITE 900, WASHINGTON, USA, DC, 20024","English","Psychiatry"
"AMERICAN JOURNAL OF PSYCHOLOGY","0002-9556","1939-8298","UNIV ILLINOIS PRESS","1325 S OAK ST, CHAMPAIGN, USA, IL, 61820-6903","English","Psychology"
"AMERICAN JOURNAL OF PUBLIC HEALTH","0090-0036","1541-0048","AMER PUBLIC HEALTH ASSOC INC","800 I STREET, NW, WASHINGTON, USA, DC, 20001-3710","English","Public Health & Health Care Science"
"AMERICAN JOURNAL OF SOCIOLOGY","0002-9602","1537-5390","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Sociology & Social Sciences"
"AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY","1058-0360","1558-9110","AMER SPEECH-LANGUAGE-HEARING ASSOC","2200 RESEARCH BLVD, #271, ROCKVILLE, USA, MD, 20850-3289","English","Rehabilitation"
"AMERICAN JOURNAL ON ADDICTIONS","1055-0496","1521-0391","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Public Health & Health Care Science"
"AMERICAN LAW AND ECONOMICS REVIEW","1465-7252","1465-7260","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Law"
"AMERICAN POLITICAL SCIENCE REVIEW","0003-0554","1537-5943","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Political Science & Public Administration"
"AMERICAN POLITICS RESEARCH","1532-673X","1552-3373","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science & Public Administration"
"AMERICAN PSYCHOLOGIST","0003-066X","1935-990X","AMER PSYCHOLOGICAL ASSOC","750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242","English","Psychology"
"AMERICAN REVIEW OF PUBLIC ADMINISTRATION","0275-0740","1552-3357","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science & Public Administration"
"AMERICAN SOCIOLOGICAL REVIEW","0003-1224","1939-8271","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology & Social Sciences"
"AMERICAN SPEECH","0003-1283","1527-2133","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","English","Communication"
"AMERICAS","0003-1615","1533-6247","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Sociology & Social Sciences"
"ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY","1529-7489","1530-2415","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Sociology & Social Sciences"
"ANALYTIC METHODS IN ACCIDENT RESEARCH","2213-6657","2213-6665","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Sociology & Social Sciences"
"ANNALS OF BEHAVIORAL MEDICINE","0883-6612","1532-4796","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Psychology"
"ANNALS OF CLINICAL PSYCHIATRY","1040-1237","1547-3325","QUADRANT HEALTHCOM INC","7 CENTURY DRIVE, STE 302, PARSIPPANY, USA, NJ, 07054-4603","English","Psychiatry"
"ANNALS OF DYSLEXIA","0736-9387","1934-7243","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Rehabilitation"
"ANNALS OF GENERAL PSYCHIATRY","1744-859X","1744-859X","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Psychiatry"
"ANNALS OF HUMAN BIOLOGY","0301-4460","1464-5033","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Public Health & Health Care Science"
"ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS","1370-4788","1467-8292","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","Multi-Language","Economics"
"ANNALS OF REGIONAL SCIENCE","0570-1864","1432-0592","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Environmental Studies, Geography & Development"
"ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE","0002-7162","1552-3349","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science & Public Administration"
