"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACTA ENTOMOLOGICA CHILENA","0716-5072","","INST ENTOMOLOGIA","FAC CIENCIAS BASICAS, UNIV METROPOLITANA DE CIENCIAS EDUCACION, CASILLA 147, SANTIAGO, CHILE, 00000","","Entomology"
"ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE","0374-1036","1804-6487","NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM","KUNRATICE, PRAHA, CZECH REPUBLIC, CZ-148 00","English","Entomology"
"ACTA ENTOMOLOGICA SERBICA","0354-9410","0354-9410","ENTOMOLOGICAL SOC SERBIA","FACULTY FORESTRY, KNEZA VISESLAVA 1, BEOGRAD, YUGOSLAVIA, YU-11030","","Entomology"
"ACTA ENTOMOLOGICA SILESIANA","1230-7777","","SILESIAN ENTOMOLOGICAL SOC","C/O DEPT NATURAL HISTORY, UPPER SILESIAN MUSEUM, 2 SOBIESKI SQ., BYTOM, POLAND, 41-902","","Entomology"
"ACTA ENTOMOLOGICA SINICA","0454-6296","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","","Entomology"
"ACTA ENTOMOLOGICA SLOVENICA","1318-1998","1318-1998","SLOVENSKO ENTOMOLOSKO DRUSTVO STEFANA MICHIELIJA V LJUBLJANI","BIOLOSKI INSTITUT JOVANA HADZIJA ZRC SAZU, NOVI TRG 5, LJUBLJANA, SLOVENIA, SI-1000","","Entomology"
"ACTA ETHOLOGICA","0873-9749","1437-9546","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Behavioral Sciences | Zoology"
"ACTA GEOLOGICA LILLOANA","0567-7513","1852-6217","FUNDACION MIGUEL LILLO","MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE","","Geology"
"ACTA GEOLOGICA POLONICA","0001-5709","2300-1887","POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT","PL DEFILAD 1, WARSZAWA, POLAND, 00-901","Polish","Geology"
"ACTA GEOLOGICA SINICA-ENGLISH EDITION","1000-9515","1755-6724","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Geosciences, Multidisciplinary"
