"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"POLYMER CHEMISTRY","1759-9954","1759-9962","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","English","Organic Chemistry/Polymer Science"
"POLYMER DEGRADATION AND STABILITY","0141-3910","1873-2321","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Organic Chemistry/Polymer Science"
"POLYMER ENGINEERING AND SCIENCE","0032-3888","1548-2634","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Organic Chemistry/Polymer Science"
"POLYMER INTERNATIONAL","0959-8103","1097-0126","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Organic Chemistry/Polymer Science"
"POLYMER JOURNAL","0032-3896","1349-0540","SPRINGERNATURE","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Organic Chemistry/Polymer Science"
"POLYMER REVIEWS","1558-3724","1558-3716","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Organic Chemistry/Polymer Science"
"POLYMERS","2073-4360","2073-4360","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Organic Chemistry/Polymer Science"
"POLYMER SCIENCE SERIES A","0965-545X","1555-6107","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578","English","Organic Chemistry/Polymer Science"
"POLYMER SCIENCE SERIES B","1560-0904","1555-6123","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578","English","Organic Chemistry/Polymer Science"
"POLYMERS FOR ADVANCED TECHNOLOGIES","1042-7147","1099-1581","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Organic Chemistry/Polymer Science"
